target_id,condition,repetition,selected_record_run_id,terminal_reason,step_count,invalid_action_count,failure_category,failure_subcategory,first_irreversible_step,first_irreversible_action,ingredient,observed_operation,expected_next_operation
cookingworld:test:53257,H,1,p8-t0286-arm_2-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook banana in barbeque,banana,grill,fry
cookingworld:test:53322,D,1,p8-t0269-arm_1-r01,environment_done,21,0,operation_to_ingredient_error,wrong_operation_for_ingredient,21,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:53173,N,1,p8-t0623-arm_3-r01,environment_done,5,0,operation_to_ingredient_error,wrong_operation_for_ingredient,5,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53753,N,1,p8-t0515-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook carrot in stove,carrot,fry,grill
cookingworld:test:52707,N,1,p8-t0547-arm_3-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:53905,N,1,p8-t0099-arm_3-r01,environment_done,8,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,8,eat block of cheese,block of cheese,,
cookingworld:test:52676,R,1,p8-t0120-arm_4-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:53032,N,1,p8-t0259-arm_3-r01,environment_done,4,0,operation_to_ingredient_error,wrong_operation_for_ingredient,4,cook red apple in stove,red apple,fry,grill
cookingworld:test:53388,N,1,p8-t0163-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook yellow bell pepper in stove,yellow bell pepper,fry,grill
cookingworld:test:53468,N,1,p8-t0055-arm_3-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook red hot pepper in stove,red hot pepper,fry,grill
cookingworld:test:53011,N,1,p8-t0107-arm_3-r01,environment_done,9,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,9,eat white onion,white onion,,
cookingworld:test:52264,N,1,p8-t0387-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook carrot in stove,carrot,fry,grill
cookingworld:test:52339,R,1,p8-t0324-arm_4-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:52965,N,1,p8-t0039-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook carrot in oven,carrot,roast,grill
cookingworld:test:52854,R,1,p8-t0024-arm_4-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook red onion in oven,red onion,roast,grill
cookingworld:test:53728,R,1,p8-t0128-arm_4-r01,environment_done,20,0,operation_to_ingredient_error,wrong_operation_for_ingredient,20,cook banana in barbeque,banana,grill,fry
cookingworld:test:52581,D,1,p8-t0205-arm_1-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:53005,N,1,p8-t0015-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red apple in barbeque,red apple,grill,roast
cookingworld:test:52799,N,1,p8-t0395-arm_3-r01,environment_done,5,0,operation_to_ingredient_error,wrong_operation_for_ingredient,5,cook red potato in stove,red potato,fry,grill
cookingworld:test:53015,N,1,p8-t0255-arm_3-r01,max_steps,50,0,navigation_or_step_limit_failure,step_limit_without_irreversible_recipe_error,,,,,
cookingworld:test:52640,N,1,p8-t0307-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52237,H,1,p8-t0482-arm_2-r01,environment_done,6,0,operation_to_ingredient_error,wrong_operation_for_ingredient,6,cook purple potato in oven,purple potato,roast,grill
cookingworld:test:53855,N,1,p8-t0439-arm_3-r01,environment_done,15,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,15,cook yellow bell pepper in barbeque,yellow bell pepper,grill,
cookingworld:test:52093,N,1,p8-t0411-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red apple in barbeque,red apple,grill,fry
cookingworld:test:53792,R,1,p8-t0204-arm_4-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52209,R,1,p8-t0088-arm_4-r01,max_steps,50,0,navigation_or_step_limit_failure,step_limit_without_irreversible_recipe_error,,,,,
cookingworld:test:52170,N,1,p8-t0119-arm_3-r01,environment_done,4,0,operation_to_ingredient_error,wrong_operation_for_ingredient,4,cook purple potato in stove,purple potato,fry,grill
cookingworld:test:53299,N,1,p8-t0451-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53306,N,1,p8-t0463-arm_3-r01,environment_done,18,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,18,eat red hot pepper,red hot pepper,,
