target_id,condition,repetition,record_run_id,terminal_reason,step_count,invalid_action_count,failure_category,failure_subcategory,first_irreversible_step,first_irreversible_action,ingredient,observed_operation,expected_next_operation
cookingworld:test:52917,P,2,sup-t0231-arm_1-r02,environment_done,17,0,operation_to_ingredient_error,operation_allocated_to_wrong_ingredient_role,17,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:52330,P,1,sup-t0497-arm_1-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:52989,R2,1,sup-t0113-arm_2-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:54020,N2,2,sup-t0696-arm_3-r02,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook yellow bell pepper in stove,yellow bell pepper,fry,grill
cookingworld:test:53366,P,1,sup-t0575-arm_1-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red potato in stove,red potato,fry,grill
cookingworld:test:52894,R2,1,sup-t0199-arm_2-r01,environment_done,16,0,operation_to_ingredient_error,wrong_operation_for_ingredient,16,cook banana in barbeque,banana,grill,fry
cookingworld:test:52639,P,2,sup-t0089-arm_1-r02,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53631,R2,1,sup-t0065-arm_2-r01,environment_done,3,0,operation_to_ingredient_error,wrong_operation_for_ingredient,3,cook red apple in barbeque,red apple,grill,roast
cookingworld:test:53631,N2,1,sup-t0065-arm_3-r01,environment_done,3,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,3,eat red apple,red apple,,
cookingworld:test:52965,N2,1,sup-t0039-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook carrot in oven,carrot,roast,grill
cookingworld:test:53770,R2,2,sup-t0352-arm_2-r02,environment_done,17,0,operation_to_ingredient_error,wrong_operation_for_ingredient,17,cook orange bell pepper in barbeque,orange bell pepper,grill,fry
